aid,adate,atime,providerId
1,2021-03-22,09:00,walgreen1
2,2021-03-22,14:00,walgreen1
3,2021-03-25,09:00,walgreen1
4,2021-03-25,14:00,walgreen1
5,2021-03-30,09:00,walgreen1
6,2021-03-30,14:00,walgreen1
7,2021-04-01,09:00,walgreen1
8,2021-04-01,14:00,walgreen1
9,2021-04-05,09:00,walgreen1
10,2021-04-05,14:00,walgreen1
11,2021-04-09,09:00,walgreen1
12,2021-04-09,14:00,walgreen1
13,2021-04-13,09:00,walgreen1
14,2021-04-17,14:00,walgreen1
15,2021-04-21,09:00,walgreen1
16,2021-04-25,14:00,walgreen1
17,2021-05-03,09:00,walgreen1
18,2021-05-07,14:00,walgreen1
19,2021-05-11,09:00,walgreen1
20,2021-05-15,14:00,walgreen1
21,2021-05-19,09:00,walgreen1
22,2021-05-23,14:00,walgreen1
23,2021-05-27,09:00,walgreen1
24,2021-05-31,14:00,walgreen1
25,2021-06-04,09:00,walgreen1
26,2021-06-08,14:00,walgreen1
27,2021-06-12,09:00,walgreen1
28,2021-06-16,14:00,walgreen1
29,2021-03-30,15:00,nycwoodhull
30,2021-04-05,10:00,nycwoodhull
31,2021-04-10,10:00,nycwoodhull
32,2021-04-15,10:00,nycwoodhull
33,2021-04-20,10:00,nycwoodhull
34,2021-04-25,15:00,nycwoodhull
35,2021-04-30,15:00,nycwoodhull
36,2021-05-05,11:00,nycwoodhull
37,2021-05-10,11:00,nycwoodhull
38,2021-05-15,11:00,nycwoodhull
39,2021-05-20,11:00,nycwoodhull
40,2021-06-05,11:00,nycwoodhull
41,2021-06-10,11:00,nycwoodhull
42,2021-06-15,11:00,nycwoodhull
43,2021-06-20,11:00,nycwoodhull
44,2021-04-15,15:00,walgreen2
45,2021-04-17,15:00,walgreen2
46,2021-04-19,15:00,walgreen2
47,2021-04-21,15:00,walgreen2
48,2021-04-23,15:00,walgreen2
49,2021-04-25,15:00,walgreen2
50,2021-04-27,15:00,walgreen2
51,2021-04-29,15:00,walgreen2
52,2021-05-15,15:00,walgreen2
53,2021-05-17,15:00,walgreen2
54,2021-05-19,15:00,walgreen2
55,2021-05-21,15:00,walgreen2
56,2021-05-23,15:00,walgreen2
57,2021-05-25,15:00,walgreen2
58,2021-05-27,15:00,walgreen2
59,2021-05-29,15:00,walgreen2
60,2021-03-22,10:00,cvs1
61,2021-03-22,14:00,cvs1
62,2021-03-24,10:00,cvs1
63,2021-03-24,14:00,cvs1
64,2021-03-27,10:00,cvs1
65,2021-03-27,14:00,cvs1
66,2021-05-22,10:00,cvs1
67,2021-05-22,14:00,cvs1
68,2021-05-24,10:00,cvs1
69,2021-05-24,14:00,cvs1
70,2021-05-27,10:00,cvs1
71,2021-05-27,14:00,cvs1
72,2021-07-22,10:00,cvs1
73,2021-07-22,14:00,cvs1
74,2021-07-24,10:00,cvs1
75,2021-07-24,14:00,cvs1
76,2021-07-27,10:00,cvs1
77,2021-07-27,14:00,cvs1
78,2021-04-02,13:00,nycmetropolitan
79,2021-04-03,13:00,nycmetropolitan
80,2021-04-04,13:00,nycmetropolitan
81,2021-04-05,13:00,nycmetropolitan
82,2021-04-06,13:00,nycmetropolitan
83,2021-04-07,13:00,nycmetropolitan
84,2021-04-08,13:00,nycmetropolitan
85,2021-04-02,10:00,nycmetropolitan
86,2021-04-03,10:00,nycmetropolitan
87,2021-04-04,10:00,nycmetropolitan
88,2021-04-05,10:00,nycmetropolitan
89,2021-04-06,10:00,nycmetropolitan
90,2021-04-07,10:00,nycmetropolitan
91,2021-04-08,10:00,nycmetropolitan
92,2021-05-02,13:00,nycmetropolitan
93,2021-05-03,13:00,nycmetropolitan
94,2021-05-04,13:00,nycmetropolitan
95,2021-05-05,13:00,nycmetropolitan
96,2021-05-06,13:00,nycmetropolitan
97,2021-05-07,13:00,nycmetropolitan
98,2021-05-08,13:00,nycmetropolitan
99,2021-05-02,10:00,nycmetropolitan
100,2021-05-03,10:00,nycmetropolitan
101,2021-05-04,10:00,nycmetropolitan
102,2021-05-05,10:00,nycmetropolitan
103,2021-05-06,10:00,nycmetropolitan
104,2021-05-07,10:00,nycmetropolitan
105,2021-05-08,10:00,nycmetropolitan
106,2021-05-06,14:00,flushinghospital
107,2021-05-07,08:00,flushinghospital
108,2021-05-14,14:00,flushinghospital
109,2021-05-15,08:00,flushinghospital
110,2021-05-20,14:00,flushinghospital
111,2021-05-21,08:00,flushinghospital
112,2021-05-28,14:00,flushinghospital
113,2021-05-26,08:00,flushinghospital
114,2021-06-01,14:00,flushinghospital
115,2021-06-14,08:00,flushinghospital